name,category,physical_address,contact_email,contact_person
Mars,"Medicines, Doctors, Equipment & Medical Infrastructure","2 Fairbridge Avenue, Belgravia, Harare",mars@supplier.local,Procurement Contact
Utano Africa,"Medicines, Doctors, Equipment & Medical Infrastructure","1st floor, cancer centre building, 60 Livingstone Avenue , Harare",utano.africa@supplier.local,Procurement Contact
KDB Healthcare,"Medicines, Doctors, Equipment & Medical Infrastructure",53 Coventry Road Workington Harare,kdb.healthcare@supplier.local,Procurement Contact
Lucrea Pharmaceticals,"Medicines, Doctors, Equipment & Medical Infrastructure","1 Colen Brander ,Milton Park ,Harare,Zimbabwe",lucrea.pharmaceticals@supplier.local,Procurement Contact
A.V Medicals,"Medicines, Doctors, Equipment & Medical Infrastructure","106 Crowhill Road,Borrowdale,Harare",a.v.medicals@supplier.local,Procurement Contact
Wellness Medicals,"Medicines, Doctors, Equipment & Medical Infrastructure","15 Tweed Road Eastlea,Harare",wellness.medicals@supplier.local,Procurement Contact
Copperwares,Cards & Gifts,"24 Neill Ave, Msasa, Harare",copperwares@supplier.local,Procurement Contact
Radio Solutions,Cards & Gifts,"4 Beit Avenue Milton Park, Harare",radio.solutions@supplier.local,Procurement Contact
Tsogo Marketing,Cards & Gifts,"161 The Chase ,Mt Pleasant, Harare",tsogo.marketing@supplier.local,Procurement Contact
Advert Guru,Cards & Gifts,"329 Charingira Court, Avenues Harare",advert.guru@supplier.local,Procurement Contact
Phoenix Intrigue,Cards & Gifts,"39 Central Avenue ,Harare",phoenix.intrigue@supplier.local,Procurement Contact
The Financial Gazette Fingaz House,Media,"2nd Floor, Green Bridge South, Eastgate Complex Harare",the.financial.gazette.fingaz.house@supplier.local,Procurement Contact
Zimbabwe Newspapers,Media,"27 George Silundika Ave, Harare",zimbabwe.newspapers@supplier.local,Procurement Contact
Zimind Publishers Pvt Ltd Block,Media,"1, Third Floor 1 Kwame Nkrumah Avenue",zimind.publishers.pvt.ltd.block@supplier.local,Procurement Contact
Daily News,Media,"9th floor Goldbridge, Eastgate Complex",daily.news@supplier.local,Procurement Contact
Total Media,Media,"21 Lawson Ave/Prince Edward St, Milton Park, Harare",total.media@supplier.local,Procurement Contact
Vortex,Borehole Drilling,"24 Hillside Rd, Harare",vortex@supplier.local,Procurement Contact
Solar Shark,Borehole Drilling,"21 Glenara South Ave South, Eastlea Harare",solar.shark@supplier.local,Procurement Contact
Bravo Borehole No.,Borehole Drilling,"15186, Kelvin West, Harare",bravo.borehole.no@supplier.local,Procurement Contact
Blue gold drilling,Borehole Drilling,"454 HARARE DRIVE VAINONA, HARARE",blue.gold.drilling@supplier.local,Procurement Contact
Harare Pumps and Irrigation,Borehole Drilling,"303 Samora Machel Avenue Eastlea, Harare, Zimbabwe",harare.pumps.and.irrigation@supplier.local,Procurement Contact
Chairlite t/a Skylake,Borehole Drilling,214 Samora Machel Harare,chairlite.t.a.skylake@supplier.local,Procurement Contact
Wigatap Borehole Drillers,Borehole Drilling,"16 Arundel road, Alex Park, Harare",wigatap.borehole.drillers@supplier.local,Procurement Contact
Slarev Catering,Catering And Cakes,"147 The Chase,Mt Pleasant, Harare",slarev.catering@supplier.local,Procurement Contact
Servcor PVT LTD,Catering And Cakes,47 Plymouth Rd Southerton Harare Zimbabwe,servcor.pvt.ltd@supplier.local,Procurement Contact
"Sibo Cakes and Catering Plot L Bradley Windsor Park, Gweru",Catering And Cakes,,sibo.cakes.and.catering.plot.l.bradley.windsor.park.gweru@supplier.local,Procurement Contact
Nilestroom,Catering And Cakes,"23 Borowdale Road, Harare",nilestroom@supplier.local,Procurement Contact
Moldon Marketing,Catering And Cakes,"2 Bryce Road,New Ardbernie",moldon.marketing@supplier.local,Procurement Contact
Simbisa Brands- Chicken inn,Catering And Cakes,"17 Morningside Drive, Mount Pleasant, Harare",simbisa.brands.chicken.inn@supplier.local,Procurement Contact
Amazing Grace Catering,Catering And Cakes,17712 New Cranborne Harare,amazing.grace.catering@supplier.local,Procurement Contact
Star Sisters T/A Kazi Water Stand,Catering And Cakes,484 Gletwyn Highlands,star.sisters.t.a.kazi.water.stand@supplier.local,Procurement Contact
Team Xtreme PBC,Training & Development And Team Building,"3rd Floor, Kingstones House, Cnr Leopold & Kwame Nkrumah, Harare",team.xtreme.pbc@supplier.local,Procurement Contact
Sabvalle Investment,Training & Development And Team Building,"30 Taomina Avenue Marlborough, Harare",sabvalle.investment@supplier.local,Procurement Contact
Quartrohaus,Training & Development And Team Building,"1 Verona Gardens, 70 Livingstone Avenue, Harare",quartrohaus@supplier.local,Procurement Contact
Mantis Africa,Training & Development And Team Building,"37 Harvey Brown, Milton Park, Harare",mantis.africa@supplier.local,Procurement Contact
Laying Solid Foundation (LASOF),Training & Development And Team Building,"18 Lanark Road, Belgravia, Harare",laying.solid.foundation.lasof@supplier.local,Procurement Contact
Master's Mind Consultancy,Training & Development And Team Building,"2nd Floor, Old Shell House, Nelson Mandela Avenue, Harare",master.s.mind.consultancy@supplier.local,Procurement Contact
The Cleft,Training & Development And Team Building,"3rd Floor Bard House South Wing,69 Samora machel Avenue",the.cleft@supplier.local,Procurement Contact
Adept Solutions,Training & Development And Team Building,"7 Phillips Avenue, Belgravia Harare",adept.solutions@supplier.local,Procurement Contact
Realise Africa Suite,Training & Development And Team Building,"8 Newlands Shopping Centre, Harare",realise.africa.suite@supplier.local,Procurement Contact
Tree of life,Training & Development And Team Building,"16A Gardiner Road, Ruwa",tree.of.life@supplier.local,Procurement Contact
Sabre Business World (Pvt) Ltd,Training & Development And Team Building,"146 Enterprise Road, Harare",sabre.business.world.pvt.ltd@supplier.local,Procurement Contact
Transformation Team,Training & Development And Team Building,"2 Hague Close Sentosa, Mabelreign, Harare",transformation.team@supplier.local,Procurement Contact
Ideal Solutions,Training & Development And Team Building,"13083 , 6th Strt, Madokero , Harare, Zimbabwe",ideal.solutions@supplier.local,Procurement Contact
ACCA Suite,Professional Bodies,"3,House West, Westgate Office , Westgate",acca.suite@supplier.local,Procurement Contact
ICAZ,Professional Bodies,"2 Bath Road, Belgravia,Harare",icaz@supplier.local,Procurement Contact
CAA,Professional Bodies,"2nd Floor Strechan's House; 66 Mandela Ave, Harare",caa@supplier.local,Procurement Contact
"IIAZ Cnr Adylinn/Marlborough Drive, Marlborough, Harare",Professional Bodies,,iiaz.cnr.adylinn.marlborough.drive.marlborough.harare@supplier.local,Procurement Contact
CIPS No,Professional Bodies,"22 Cork Rd, Harare",cips.no@supplier.local,Procurement Contact
IPMZ,Professional Bodies,15 Argyle Road Avondale Harare,ipmz@supplier.local,Procurement Contact
IODZ,Professional Bodies,"50 Broadlands Rd, Harare",iodz@supplier.local,Procurement Contact
Allied Fire Tech,Fire Equipment & Firstaid,"30 Robson Manyika Avenue, Harare",allied.fire.tech@supplier.local,Procurement Contact
Fire Consult (Pvt) Ltd Unit,Fire Equipment & Firstaid,"2, 28 Martin Drive Msasa",fire.consult.pvt.ltd.unit@supplier.local,Procurement Contact
Fire Guard Fire Engineers,Fire Equipment & Firstaid,"25 Wendy Drive, Belvedere, Harare",fire.guard.fire.engineers@supplier.local,Procurement Contact
Firebreeze,Fire Equipment & Firstaid,"1st Floor, 32 South Ave,Cnr 2nd St & South Ave, Harare",firebreeze@supplier.local,Procurement Contact
Southbay Real Estate,Estate Agents & Valuers,"56 Edmonds Ave,Belvedere, Harare",southbay.real.estate@supplier.local,Procurement Contact
Guest and Tanner,Estate Agents & Valuers,"192 Herbert Chitepo Ave, Avenues, Harare CBD",guest.and.tanner@supplier.local,Procurement Contact
Dawn Properties,Estate Agents & Valuers,"8th Floor Beverly Court,100 Nelson Mandela Ave./Fourth St.",dawn.properties@supplier.local,Procurement Contact
Amazon Real Estate,Estate Agents & Valuers,"107 Kwame Nkrumah Avenue, Harare City Centre, Harare CBD, Harare, Zimbabwe",amazon.real.estate@supplier.local,Procurement Contact
"Foundations for Farming The Glen, Glenforest, Harare, Zimbabwe.",Farming,,foundations.for.farming.the.glen.glenforest.harare.zimbabwe@supplier.local,Procurement Contact
Agricura,Farming,"62 Birmingham Road, Southerton, Harare",agricura@supplier.local,Procurement Contact
Seedco,Farming,"1 shamwari road,tapleford, Harare",seedco@supplier.local,Procurement Contact
"Tocek Investments (Pvt) Ltd Plot K of Observatory Farm Mount Hampden, Harare",Farming,,tocek.investments.pvt.ltd.plot.k.of.observatory.farm.mount.hampden.harare@supplier.local,Procurement Contact
ZFC Limited,Farming,"35 covenrty road, workington, Harare",zfc.limited@supplier.local,Procurement Contact
"Windmill Westgate House, P.O Box WGT",Farming,"560, Westgate harare",windmill.westgate.house.p.o.box.wgt@supplier.local,Procurement Contact
"Sable Chemicals Anne Newton Boulevard, Sherwood Block, Kwekwe",Farming,,sable.chemicals.anne.newton.boulevard.sherwood.block.kwekwe@supplier.local,Procurement Contact
Nature Horizon,Farming,"23km Peg, Lomagundi Rd Stapleford Harare",nature.horizon@supplier.local,Procurement Contact
Forestry and Citrus Research,Farming,"167B Showgrounds,Harare Zimbabwe",forestry.and.citrus.research@supplier.local,Procurement Contact
Agrirocket,Farming,4 Richwell Avenue Meyrick Park Harare,agrirocket@supplier.local,Procurement Contact
Optimum Agro,Farming,"12 Highfield Road,Harare",optimum.agro@supplier.local,Procurement Contact
ETG Inputs Zimbabwe (Pvt) Ltd,Farming,"1 Robert Drive,Msasa ,Harare",etg.inputs.zimbabwe.pvt.ltd@supplier.local,Procurement Contact
Donini Dry Cleaners,Farming,"1 Conald Road Granite Side, Harare",donini.dry.cleaners@supplier.local,Procurement Contact
Crisp and Clean Bay,Farming,"9 Gleaneagles Industrial Centre,Cnr Gleneagles/Dagenham Roads,Willowvale,Harare",crisp.and.clean.bay@supplier.local,Procurement Contact
Highmount Lodge,General,,highmount.lodge@supplier.local,Procurement Contact
Wozani Lodge,General,,wozani.lodge@supplier.local,Procurement Contact
Lalani Lodge,General,,lalani.lodge@supplier.local,Procurement Contact
Motsamai Lodge,General,,motsamai.lodge@supplier.local,Procurement Contact
Welly Gees Lodge,General,,welly.gees.lodge@supplier.local,Procurement Contact
Chari Brothers Lodge,General,,chari.brothers.lodge@supplier.local,Procurement Contact
Chimanimani Hotel,General,,chimanimani.hotel@supplier.local,Procurement Contact
Golden Peacock,General,,golden.peacock@supplier.local,Procurement Contact
Village Inn,General,,village.inn@supplier.local,Procurement Contact
River Sound Lodge Mvurwi,General,,river.sound.lodge.mvurwi@supplier.local,Procurement Contact
Mayfair Lodges Bindura,General,,mayfair.lodges.bindura@supplier.local,Procurement Contact
Mazowe Hotel Mazowe,General,,mazowe.hotel.mazowe@supplier.local,Procurement Contact
Panzvimbo Lodge Mt Darwin,General,,panzvimbo.lodge.mt.darwin@supplier.local,Procurement Contact
Legacy Hospitality Mvurwi,General,,legacy.hospitality.mvurwi@supplier.local,Procurement Contact
Chibanguza Hotel Murewa,General,,chibanguza.hotel.murewa@supplier.local,Procurement Contact
Philjen Chivhu,General,,philjen.chivhu@supplier.local,Procurement Contact
Rukawo Lodge Chegutu,General,,rukawo.lodge.chegutu@supplier.local,Procurement Contact
Dunhuramambo Lodge Halfway,General,,dunhuramambo.lodge.halfway@supplier.local,Procurement Contact
Mornington Lodge Kadoma,General,,mornington.lodge.kadoma@supplier.local,Procurement Contact
Orange Groove Chinhoyi,General,,orange.groove.chinhoyi@supplier.local,Procurement Contact
Spring Resort Karoi,General,,spring.resort.karoi@supplier.local,Procurement Contact
Stallion Lodge,General,,stallion.lodge@supplier.local,Procurement Contact
BSPZ Mwenezi,General,,bspz.mwenezi@supplier.local,Procurement Contact
Flamboyant Hotel,General,,flamboyant.hotel@supplier.local,Procurement Contact
Pagomo Lodges,General,,pagomo.lodges@supplier.local,Procurement Contact
Triangle Country Club,General,,triangle.country.club@supplier.local,Procurement Contact
Regency Hotel,General,,regency.hotel@supplier.local,Procurement Contact
Imvelo Lodges Vic Falls/Tsholotsho,General,,imvelo.lodges.vic.falls.tsholotsho@supplier.local,Procurement Contact
Masumu lodge Binga,General,,masumu.lodge.binga@supplier.local,Procurement Contact
SKMO Gwanda,General,,skmo.gwanda@supplier.local,Procurement Contact
Fairmile Gweru,General,,fairmile.gweru@supplier.local,Procurement Contact
Mpumalanga Lodge,General,,mpumalanga.lodge@supplier.local,Procurement Contact
Travellers lodge,General,,travellers.lodge@supplier.local,Procurement Contact
Pote Hill Lodge,General,,pote.hill.lodge@supplier.local,Procurement Contact
Pumba Safari,General,,pumba.safari@supplier.local,Procurement Contact
Bradley Lodge,General,,bradley.lodge@supplier.local,Procurement Contact
Murambi Villa,General,,murambi.villa@supplier.local,Procurement Contact
Urban Style Lodge,General,,urban.style.lodge@supplier.local,Procurement Contact
Palm Leaf lodge,General,,palm.leaf.lodge@supplier.local,Procurement Contact
Bushman Rock Safari Ruwa,General,,bushman.rock.safari.ruwa@supplier.local,Procurement Contact
Cooland Trading Maphisa,General,,cooland.trading.maphisa@supplier.local,Procurement Contact
Knitefry Investments Plumtree,General,,knitefry.investments.plumtree@supplier.local,Procurement Contact
Mangoko Investments Dande-Katarira,General,,mangoko.investments.dande.katarira@supplier.local,Procurement Contact
Plumtree Bakery Plumtree,General,,plumtree.bakery.plumtree@supplier.local,Procurement Contact
Sunrise Dotito,General,,sunrise.dotito@supplier.local,Procurement Contact
Nicola Ndoro,General,,nicola.ndoro@supplier.local,Procurement Contact
Barry Mnandi,General,,barry.mnandi@supplier.local,Procurement Contact
